"ccode","year","AGC","AIOEC","AMCO","AMSC","AOMR","APCC","ASCRubber","ATO","ATPC","AVRDC","AfrOPDA","CACB","CCPA","ECSC","GLACSEC","IAFC","IATTC","IBA","ICAC","ICCEC","ICCO","ICSG","ICfO","IGC","IJO","ILZSG","INRO","INSG","IOOC","IPC","IRC","IRSG","ISuC","ITC","ITPA","ITTO","IVWO","IWSG","Iocean","JNOLCRH","NASCO","NCRR","NPFSC","SAMI","UBEC","UKDWD","WARDA"
700,1982,0,0,0,-1,-9,0,0,0,-1,0,-1,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,-9,0,0,-1,0,0,-1,0,-9,-1,0,-1,0,0,-9,0,-1,0
700,1983,0,0,0,-1,-9,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,-9,0,0,-1,0,0,-1,0,-9,-1,0,0,0,0,-9,0,-1,0
700,1984,0,0,0,-1,-9,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,-9,0,-1,0
700,1985,0,0,0,-1,-9,0,0,0,0,0,-9,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,-1,0,0,-1,0,0,0,0,-9,0,-1,0
700,1986,0,0,0,-1,-9,0,0,0,0,0,-9,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,-1,0,0,-1,0,0,0,0,-9,0,-1,0
700,1987,0,0,0,-1,-9,0,0,0,0,0,-9,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-9,0,-1,0
700,1988,0,0,0,-1,0,0,0,0,0,0,-9,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-9,0,-1,0
700,1989,0,0,0,-1,0,0,0,0,0,0,-9,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,-9,0,-1,0
700,1990,0,0,0,-1,0,0,0,0,0,0,-9,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-9,0,-1,0
700,1991,-1,0,0,-1,0,0,0,0,0,0,-9,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-9,0,-1,0
700,1992,-1,0,0,-1,-1,0,0,0,0,0,-9,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-9,0,-1,0
700,1993,-1,0,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,0,-1,0
700,1994,-1,0,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,0,-1,0
700,1995,-1,0,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,0,-1,0
700,1996,-1,0,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,0,-1,0
700,1997,-1,0,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,-1,-1,0
700,1998,-1,-1,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,-1,-1,0
700,1999,-1,-1,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,-1,-1,0
700,2000,-1,-1,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,-1,-1,0
339,1950,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1
339,1955,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1
339,1960,-9,-1,-9,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,0,-1,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1
339,1965,-9,-1,-9,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,0,-1,-1,-1,-9,0,-1,-1,-1,-1,0,-1,0,0,-9,0,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1
339,1966,-9,-1,-9,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,0,-1,-1,-1,-9,0,-1,-1,-1,-1,0,-1,0,0,-9,0,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1
339,1967,-9,-1,-9,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,-1,0,-1,-1,-1,-9,0,-1,-1,-1,-1,0,-1,0,0,-9,0,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1
339,1968,-9,-1,-9,0,-1,-9,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,-1,0,0,-1,-1,-9,0,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1
339,1969,-9,-1,-9,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,-1,0,0,-1,-1,-9,0,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1
339,1970,-9,-1,-9,0,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,0,-1,0,0,-1,-1,-9,0,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-9
339,1971,-9,-1,-9,0,-1,0,0,-1,-1,0,-1,-1,0,0,-1,-1,0,-1,0,0,-1,-1,-9,0,-1,-1,-1,-1,0,-9,0,0,-1,0,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-9
339,1972,0,-1,-9,0,-1,0,0,-1,-1,0,-1,-1,0,0,-1,-1,0,-1,0,0,-1,-1,-9,0,-1,-1,-1,-1,0,-9,0,0,-1,0,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-9
339,1973,0,-1,-9,0,-1,0,0,-1,-1,0,-1,-1,0,0,-1,-1,0,-1,0,0,0,-1,0,0,-1,-1,-1,-1,0,-9,0,0,-1,0,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-9
339,1974,0,-1,-9,0,-1,0,0,-1,-1,0,-1,-1,0,0,-9,-1,0,-1,0,0,0,-1,0,0,-1,-1,-1,-1,0,-9,0,0,-1,0,-1,-1,0,0,-1,0,-1,-1,0,-1,-9,-1,-9
339,1975,0,0,-9,0,-1,0,0,-1,-1,0,-1,0,0,0,-9,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,-9,0,0,-1,0,-1,-1,0,0,-1,0,-1,-1,0,-1,-9,-1,-9
339,1976,0,0,-9,0,-1,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,-9,0,0,-1,0,-1,-1,0,0,-1,0,-1,-1,0,-1,0,-1,-9
339,1977,0,0,-9,0,-1,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,-9,0,0,-1,0,-1,-1,0,0,-1,0,-1,-1,0,-1,0,-1,0
339,1978,0,0,-9,-1,-1,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,-1,-1,0,-9,0,0,-1,0,-1,-1,0,0,-1,0,-1,-1,0,-1,0,-1,0
339,1979,0,0,-9,-1,-9,0,0,0,-1,0,-1,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,-1,-1,0,-9,0,0,-1,0,0,-1,0,0,-1,0,-1,-1,0,-1,0,-1,0
339,1980,0,0,-9,-1,-9,0,0,0,-1,0,-1,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,-9,0,0,-1,0,0,-1,0,0,-1,0,-1,0,0,-9,0,-1,0
339,1981,0,0,0,-1,-9,0,0,0,-1,0,-1,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,-9,0,0,-1,0,0,-1,0,0,-1,0,-1,0,0,-9,0,-1,0
339,1982,0,0,0,-1,-9,0,0,0,-1,0,-1,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,-9,0,0,-1,0,0,-1,0,-9,-1,0,-1,0,0,-9,0,-1,0
339,1983,0,0,0,-1,-9,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,-9,0,0,-1,0,0,-1,0,-9,-1,0,0,0,0,-9,0,-1,0
339,1984,0,0,0,-1,-9,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,-9,0,-1,0
339,1985,0,0,0,-1,-9,0,0,0,0,0,-9,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,-1,0,0,-1,0,0,0,0,-9,0,-1,0
339,1986,0,0,0,-1,-9,0,0,0,0,0,-9,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,-1,0,0,-1,0,0,0,0,-9,0,-1,0
339,1987,0,0,0,-1,-9,0,0,0,0,0,-9,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-9,0,-1,0
339,1988,0,0,0,-1,0,0,0,0,0,0,-9,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-9,0,-1,0
339,1989,0,0,0,-1,0,0,0,0,0,0,-9,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,-9,0,-1,0
339,1990,0,0,0,-1,0,0,0,0,0,0,-9,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-9,0,-1,0
339,1991,-1,0,0,-1,0,0,0,0,0,0,-9,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-9,0,-1,0
339,1992,-1,0,0,-1,-1,0,0,0,0,0,-9,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-9,0,-1,0
339,1993,-1,0,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,0,-1,0
339,1994,-1,0,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,0,-1,0
339,1995,-1,0,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,0,-1,0
339,1996,-1,0,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,0,-1,0
339,1997,-1,0,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,-1,-1,0
339,1998,-1,-1,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,-1,-1,0
339,1999,-1,-1,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,-1,-1,0
339,2000,-1,-1,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,-1,-1,0
615,1960,-9,-1,-9,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,1,-1,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1
615,1965,-9,-1,-9,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,0,-1,-1,-1,-9,0,-1,-1,-1,-1,1,-1,0,0,-9,0,-1,-1,1,0,-1,0,-1,-1,0,-1,-1,-1,-1
615,1966,-9,-1,-9,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,0,-1,-1,-1,-9,0,-1,-1,-1,-1,1,-1,0,0,-9,0,-1,-1,1,0,-1,0,-1,-1,0,-1,-1,-1,-1
615,1967,-9,-1,-9,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,-1,0,-1,-1,-1,-9,0,-1,-1,-1,-1,1,-1,0,0,-9,0,-1,-1,1,0,-1,0,-1,-1,0,-1,-1,-1,-1
615,1968,-9,-1,-9,0,-1,-9,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,-1,0,0,-1,-1,-9,0,-1,-1,-1,-1,1,-1,0,0,-1,0,-1,-1,1,0,-1,0,-1,-1,0,-1,-1,-1,-1
615,1969,-9,-1,-9,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,-1,0,0,-1,-1,-9,0,-1,-1,-1,-1,1,-1,0,0,-1,0,-1,-1,1,0,-1,0,-1,-1,0,-1,-1,-1,-1
615,1970,-9,-1,-9,0,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,0,-1,0,0,-1,-1,-9,0,-1,-1,-1,-1,1,-1,0,0,-1,0,-1,-1,1,0,-1,0,-1,-1,0,-1,-1,-1,-9
615,1971,-9,-1,-9,0,-1,0,0,-1,-1,0,-1,-1,0,0,-1,-1,0,-1,0,0,-1,-1,-9,0,-1,-1,-1,-1,1,-9,0,0,-1,0,-1,-1,1,0,-1,0,-1,-1,0,-1,-1,-1,-9
615,1972,0,-1,-9,0,-1,0,0,-1,-1,0,-1,-1,0,0,-1,-1,0,-1,0,0,-1,-1,-9,1,-1,-1,-1,-1,1,-9,0,0,-1,0,-1,-1,1,0,-1,0,-1,-1,0,-1,-1,-1,-9
615,1973,0,-1,-9,0,-1,0,0,-1,-1,0,-1,-1,0,0,-1,-1,0,-1,0,0,1,-1,0,1,-1,-1,-1,-1,1,-9,0,0,-1,0,-1,-1,1,0,-1,0,-1,-1,0,-1,-1,-1,-9
615,1974,0,-1,-9,0,-1,0,0,-1,-1,0,-1,-1,0,0,-9,-1,0,-1,0,0,1,-1,0,1,-1,-1,-1,-1,1,-9,0,0,-1,0,-1,-1,1,0,-1,0,-1,-1,0,-1,-9,-1,-9
615,1975,0,1,-9,0,-1,0,0,-1,-1,0,-1,0,0,0,-9,-1,0,0,0,0,1,-1,0,1,-1,-1,-1,-1,1,-9,0,0,-1,0,-1,-1,1,0,-1,0,-1,-1,0,-1,-9,-1,-9
615,1976,0,1,-9,0,-1,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,0,0,1,-1,0,1,-1,-1,-1,-1,1,-9,0,0,-1,0,-1,-1,1,0,-1,0,-1,-1,0,-1,0,-1,-9
615,1977,0,1,-9,0,-1,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,0,0,1,-1,0,1,-1,-1,-1,-1,1,-9,0,0,-1,0,-1,-1,1,0,-1,0,-1,-1,0,-1,0,-1,0
615,1978,0,1,-9,-1,-1,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,0,0,1,-1,0,1,-1,1,-1,-1,1,-9,0,0,-1,0,-1,-1,1,0,-1,0,-1,-1,0,-1,0,-1,0
615,1979,0,1,-9,-1,-9,0,0,0,-1,0,-1,-1,0,0,0,-1,0,0,0,0,1,-1,0,1,-1,1,-1,-1,1,-9,0,0,-1,0,0,-1,1,0,-1,0,-1,-1,0,-1,0,-1,0
615,1980,0,1,-9,-1,-9,0,0,0,-1,0,-1,-1,0,0,0,-1,0,0,0,0,1,-1,0,1,-1,1,0,-1,1,-9,0,0,-1,0,0,-1,1,0,-1,0,-1,0,0,-9,0,-1,0
615,1981,0,1,0,-1,-9,0,0,0,-1,0,-1,-1,0,0,0,-1,0,0,0,0,1,-1,0,1,-1,1,0,-1,1,-9,0,0,-1,0,0,-1,1,0,-1,0,-1,0,0,-9,0,-1,0
615,1982,0,1,0,-1,-9,0,0,0,-1,0,-1,-1,0,0,0,-1,0,0,0,0,1,-1,0,1,-1,1,0,-1,1,-9,0,0,-1,0,0,-1,1,-9,-1,0,-1,0,0,-9,0,-1,0
