stateabb,ccode,year,irst,milex,milper,energy,tpop,upop,cinc,version
MEX,70,1858,0,-9,26,32,8198,193,0.0082071,3.02
MEX,70,1859,0,-9,26,43,8302,195,0.0081491,3.02
MEX,70,1860,0,-9,26,53,8412,198,0.0051923,3.02
MEX,70,1861,0,-9,26,54,8509,201,0.0051038,3.02
MEX,70,1862,0,-9,27,64,8611,205,0.0052148,3.02
MEX,70,1863,0,-9,10,67,8708,208,0.0044614,3.02
MEX,70,1864,0,-9,15,65,8802,211,0.0046122,3.02
MEX,70,1865,0,2157,21,67,8891,214,0.0065961,3.02
MEX,70,1866,0,2594,40,64,8957,217,0.0077329,3.02
MEX,70,1867,0,-9,33,69,9022,221,0.0055965,3.02
MEX,70,1868,0,1690,26,70,9089,224,0.0062997,3.02
MEX,70,1869,0,1741,18,69,9147,227,0.0061953,3.02
MEX,70,1870,0,1440,18,83,9210,231,0.005307,3.02
MEX,70,1871,0,1743,18,83,9281,234,0.0055929,3.02
MEX,70,1872,0,2090,18,93,9364,238,0.0065366,3.02
MEX,70,1873,0,2087,20,91,9452,242,0.0063916,3.02
MEX,70,1874,10,2112,22,88,9526,245,0.0065796,3.02
MEX,70,1875,10,2185,22,96,9608,249,0.0066227,3.02
MEX,70,1876,10,2179,22,100,9694,253,0.0061491,3.02
MEX,70,1877,10,2249,22,102,9795,257,0.005993,3.02
MEX,70,1878,10,1415,22,101,9887,260,0.005239,3.02
MEX,70,1879,10,1826,22,102,9980,264,0.0059533,3.02
MEX,70,1880,10,1666,25,116,10073,268,0.005887,3.02
MEX,70,1881,10,2036,22,149,10172,273,0.0059916,3.02
MEX,70,1882,10,1802,22,155,10276,277,0.0056759,3.02
MEX,70,1883,10,1771,21,151,10384,281,0.0057601,3.02
MEX,70,1884,10,1712,21,155,10501,285,0.0055712,3.02
MEX,70,1885,10,1719,21,147,10639,290,0.0055404,3.02
MEX,70,1886,10,2500,21,157,10780,294,0.0062537,3.02
MEX,70,1887,10,2408,21,155,10923,298,0.0060317,3.02
MEX,70,1888,10,2768,32,162,11107,303,0.006427,3.02
MEX,70,1889,10,2784,37,172,11289,308,0.0066717,3.02
MEX,70,1890,10,2593,37,185,11460,312,0.0063882,3.02
MEX,70,1891,10,2643,38,200,11643,317,0.0065287,3.02
MEX,70,1892,10,2628,49,350,11886,322,0.0069379,3.02
MEX,70,1893,10,2611,38,260,12257,327,0.0064616,3.02
MEX,70,1894,10,2336,38,300,12443,332,0.00617,3.02
MEX,70,1895,10,2128,38,270,12632,337,0.0059407,3.02
MEX,70,1896,10,1094,35,253,12822,342,0.0050737,3.02
MEX,70,1897,10,1214,33,359,13014,347,0.0049481,3.02
MEX,70,1898,10,1275,33,367,13209,352,0.0047826,3.02
MEX,70,1899,10,1140,33,409,13406,358,0.0047437,3.02
MEX,70,1900,0,1348,33,388,13610,446,0.004795,3.02
MEX,70,1901,0,1388,33,671,13760,458,0.0048923,3.02
MEX,70,1902,0,1413,30,719,13910,471,0.0048195,3.02
MEX,70,1903,0,1424,29,796,14073,485,0.0048298,3.02
MEX,70,1904,0,1622,29,859,14210,498,0.0048426,3.02
MEX,70,1905,0,1639,29,974,14363,512,0.0045246,3.02
MEX,70,1906,0,1674,28,875,14519,527,0.0047629,3.02
MEX,70,1907,0,1802,28,1241,14677,542,0.0049441,3.02
MEX,70,1908,0,2090,29,1708,14836,557,0.0051272,3.02
MEX,70,1909,0,2131,30,1882,15001,573,0.0051037,3.02
MEX,70,1910,0,2083,31,2083,15160,590,0.0051168,3.02
MEX,70,1911,0,2182,32,3945,15332,606,0.0053431,3.02
MEX,70,1912,0,2886,57,2784,15514,623,0.0060852,3.02
MEX,70,1913,0,4478,31,1459,15370,641,0.0053467,3.02
MEX,70,1914,0,22000,30,1310,15090,690,0.0045631,3.02
MEX,70,1915,0,21500,180,2080,14643,672,0.0045538,3.02
MEX,70,1916,0,-9,200,3185,14030,660,0.0054283,3.02
MEX,70,1917,0,63500,-9,2274,13900,652,0.004287,3.02
MEX,70,1918,0,60000,55,3281,14000,650,0.0038661,3.02
MEX,70,1919,21,70526,137,3120,14150,656,0.0060036,3.02
MEX,70,1920,32,65792,120,3377,14150,707,0.0069053,3.02
MEX,70,1921,43,65402,103,3666,14340,764,0.0071084,3.02
MEX,70,1922,53,65651,85,1603,14444,824,0.0069531,3.02
MEX,70,1923,60,61277,66,2501,14693,889,0.0070271,3.02
MEX,70,1924,38,52014,52,2142,14945,960,0.0072456,3.02
MEX,70,1925,76,45218,64,4453,15204,1036,0.0072575,3.02
MEX,70,1926,79,46032,64,5313,15468,1117,0.00744,3.02
MEX,70,1927,66,42145,69,5291,15738,1206,0.0072402,3.02
MEX,70,1928,81,46849,74,5278,16012,1301,0.0073754,3.02
MEX,70,1929,102,47287,70,4792,16930,1404,0.0072942,3.02
MEX,70,1930,103,38441,65,3782,16553,1516,0.0067746,3.02
MEX,70,1931,76,31412,61,3057,16870,1558,0.0064986,3.02
MEX,70,1932,58,19491,54,3073,17170,1602,0.0061992,3.02
MEX,70,1933,76,16610,54,3492,17470,1647,0.0059934,3.02
MEX,70,1934,103,16672,59,3856,17776,1694,0.0059331,3.02
MEX,70,1935,111,17433,54,5007,18089,1742,0.0055269,3.02
MEX,70,1936,113,19300,48,4910,18410,1791,0.0053757,3.02
MEX,70,1937,106,22478,54,6142,18736,1841,0.0054763,3.02
MEX,70,1938,142,23033,49,8022,19070,1893,0.0056588,3.02
MEX,70,1939,142,18600,49,8675,19413,1947,0.005281,3.02
MEX,70,1940,147,18146,-9,9186,19654,2002,0.0055668,3.02
MEX,70,1941,142,22633,-9,8470,20210,2140,0.0058117,3.02
MEX,70,1942,174,24691,52,8576,20660,2287,0.005287,3.02
MEX,70,1943,167,30246,80,8635,21170,2445,0.0055368,3.02
MEX,70,1944,175,32921,-9,9348,21670,2614,0.0062339,3.02
MEX,70,1945,230,34979,-9,9916,22230,2794,0.0064862,3.02
MEX,70,1946,258,52037,61,10955,22780,2987,0.0071205,3.02
MEX,70,1947,290,57058,61,11868,23440,3193,0.0065251,3.02
MEX,70,1948,292,60576,61,12619,24461,3413,0.0066099,3.02
MEX,70,1949,373,48110,64,11754,25132,3649,0.0064611,3.02
MEX,70,1950,390,40000,55,14959,27376,3897,0.0066975,3.02
MEX,70,1951,467,46012,60,16947,28140,4073,0.0067985,3.02
MEX,70,1952,537,50289,56,18160,28954,4195,0.0065769,3.02
MEX,70,1953,462,55376,56,19542,29814,4377,0.0065433,3.02
MEX,70,1954,454,47093,56,20698,30720,4590,0.0065472,3.02
MEX,70,1955,510,42674,48,22320,31669,4923,0.0062769,3.02
MEX,70,1956,591,50600,48,22803,32662,5202,0.0063286,3.02
MEX,70,1957,687,63411,48,24914,33701,5563,0.0065357,3.02
MEX,70,1958,988,69015,49,29377,34784,5801,0.0069428,3.02
MEX,70,1959,1213,70697,50,33056,35909,6215,0.0071463,3.02
MEX,70,1960,1500,81745,50,34456,36322,6647,0.0071547,3.02
MEX,70,1961,1725,88951,60,36950,38273,7051,0.007514,3.02
MEX,70,1962,1851,100720,64,37546,39510,7829,0.0076516,3.02
MEX,70,1963,1974,111129,65,39140,40790,8350,0.0076968,3.02
MEX,70,1964,2284,127222,65,43646,42118,9187,0.0080009,3.02
MEX,70,1965,2394,132186,65,45230,43148,10086,0.0081823,3.02
MEX,70,1966,2780,143235,75,46652,44934,10771,0.0084162,3.02
MEX,70,1967,3059,171978,80,51824,46418,11558,0.0087466,3.02
MEX,70,1968,3270,182946,75,56047,47952,12249,0.0088039,3.02
MEX,70,1969,3470,204003,75,58078,49538,11365,0.0084534,3.02
MEX,70,1970,3846,218014,80,65697,50596,18709,0.0102307,3.02
MEX,70,1971,3784,224000,80,66067,52884,18833,0.0102092,3.02
MEX,70,1972,4396,260800,80,70607,54661,18957,0.0101477,3.02
MEX,70,1973,4652,326400,80,75555,56481,19080,0.0100581,3.02
MEX,70,1974,5046,430400,85,84986,58320,19204,0.0102276,3.02
MEX,70,1975,5196,586200,95,87746,59099,19328,0.0104124,3.02
MEX,70,1976,5243,529625,100,99202,60822,21025,0.0107044,3.02
MEX,70,1977,5529,533541,100,104008,62538,22722,0.0110289,3.02
MEX,70,1978,6712,634413,120,118829,64238,24419,0.0117677,3.02
MEX,70,1979,7023,693575,120,131054,65917,26116,0.0120813,3.02
MEX,70,1980,7003,824147,120,149715,67570,27220,0.0124936,3.02
MEX,70,1981,7448,777120,125,163403,69192,27595,0.0128257,3.02
MEX,70,1982,6926,943004,130,183434,70784,27970,0.0132092,3.02
MEX,70,1983,6747,607856,130,174066,72354,28346,0.0127545,3.02
MEX,70,1984,7293,562331,129,166443,73912,28721,0.0124338,3.02
MEX,70,1985,7174,1170000,140,170924,75465,29096,0.0125173,3.02
MEX,70,1986,6960,612460,141,170420,77015,29678,0.0122528,3.02
MEX,70,1987,7210,937000,141,175063,78561,30287,0.0122498,3.02
MEX,70,1988,7311,646450,154,175554,80109,30899,0.012094,3.02
MEX,70,1989,7329,640630,154,181207,81663,31514,0.0121903,3.02
MEX,70,1990,8221,678410,175,185899,83226,32135,0.0122821,3.02
MEX,70,1991,7462,674536,175,190008,84801,32763,0.0125758,3.02
MEX,70,1992,7848,1520000,175,206784,86386,33398,0.0132989,3.02
MEX,70,1993,8188,1656000,175,206969,87976,34021,0.0133554,3.02
MEX,70,1994,10260,2300000,175,213163,89564,34729,0.0139622,3.02
MEX,70,1995,12147,2366000,175,210164,90487,35382,0.0141859,3.02
MEX,70,1996,13172,3629000,175,205174,92718,36047,0.0145099,3.02
MEX,70,1997,14218,3664000,250,174943,94281,36725,0.014928,3.02
MEX,70,1998,14213,3907000,255,187648,95831,37415,0.0153665,3.02
MEX,70,1999,15299,4289000,255,187586,97365,38119,0.0155907,3.02
MEX,70,2000,15586,5229000,193,187525,98881,38767,0.0151155,3.02
MEX,70,2001,13292,5733000,193,187463,98897,39426,0.014764,3.02
BLZ,80,1981,0,2000,1,116,149,0,0.0000141,3.02
BLZ,80,1982,0,2000,1,124,153,0,0.0000143,3.02
BLZ,80,1983,0,3000,1,140,158,0,0.0000148,3.02
BLZ,80,1984,0,4000,1,135,162,0,0.0000147,3.02
BLZ,80,1985,0,3432,1,136,166,0,0.0000146,3.02
BLZ,80,1986,0,3500,1,132,170,0,0.0000144,3.02
BLZ,80,1987,0,11320,1,117,175,0,0.0000156,3.02
BLZ,80,1988,0,8960,1,118,180,0,0.000015,3.02
BLZ,80,1989,0,9940,1,123,183,0,0.0000157,3.02
BLZ,80,1990,0,9680,1,130,189,0,0.0000155,3.02
BLZ,80,1991,0,8000,1,134,194,0,0.0000159,3.02
BLZ,80,1992,0,-9,1,130,199,0,0.0000176,3.02
BLZ,80,1993,0,6900,1,138,205,0,0.0000167,3.02
BLZ,80,1994,0,11000,1,137,211,0,0.0000176,3.02
BLZ,80,1995,0,13000,1,144,216,0,0.0000181,3.02
BLZ,80,1996,0,15000,1,142,222,0,0.0000187,3.02
BLZ,80,1997,0,16000,1,199,230,0,0.0000202,3.02
BLZ,80,1998,0,17000,1,204,230,0,0.0000206,3.02
BLZ,80,1999,0,17000,1,204,235,0,0.0000206,3.02
BLZ,80,2000,0,18000,1,205,241,0,0.0000209,3.02
BLZ,80,2001,0,18000,1,205,241,0,0.0000211,3.02
GUA,90,1868,0,-9,3,0,504,0,0.0002715,3.02
GUA,90,1869,0,53,3,0,513,0,0.0002947,3.02
GUA,90,1870,0,-9,3,0,522,0,0.0002799,3.02
GUA,90,1871,0,-9,3,0,531,0,0.000242,3.02
GUA,90,1872,0,159,3,0,541,0,0.0004216,3.02
GUA,90,1873,0,252,3,0,550,0,0.0005092,3.02
GUA,90,1874,0,202,3,0,560,0,0.0004546,3.02
GUA,90,1875,0,-9,3,0,570,0,0.0002795,3.02
GUA,90,1876,0,-9,3,0,581,0,0.0002735,3.02
GUA,90,1877,0,214,3,0,591,0,0.0004024,3.02
GUA,90,1878,0,-9,3,0,602,0,0.0002618,3.02
GUA,90,1879,0,256,3,0,612,0,0.0004885,3.02
GUA,90,1880,0,-9,3,0,623,0,0.0002803,3.02
GUA,90,1881,0,237,2,0,635,0,0.0004202,3.02
GUA,90,1882,0,233,2,0,646,0,0.0004078,3.02
GUA,90,1883,0,-9,2,0,658,0,0.0002403,3.02
GUA,90,1884,0,-9,2,0,669,0,0.0002406,3.02
GUA,90,1885,0,-9,3,0,681,0,0.0002855,3.02
GUA,90,1886,0,-9,3,0,694,0,0.0002851,3.02
GUA,90,1887,0,-9,3,0,706,0,0.000282,3.02
GUA,90,1888,0,230,3,0,719,0,0.0004128,3.02
GUA,90,1889,0,-9,13,0,732,0,0.0007027,3.02
GUA,90,1890,0,178,3,0,745,0,0.0003696,3.02
GUA,90,1891,0,-9,3,0,758,0,0.0002773,3.02
GUA,90,1892,0,296,3,0,772,0,0.0004676,3.02
GUA,90,1893,0,270,3,0,786,0,0.0004408,3.02
GUA,90,1894,0,270,3,0,800,0,0.0004325,3.02
GUA,90,1895,0,435,3,0,814,0,0.00055,3.02
GUA,90,1896,0,531,3,0,829,0,0.0006195,3.02
GUA,90,1897,0,419,4,0,844,0,0.0005278,3.02
GUA,90,1898,0,419,5,0,859,0,0.000514,3.02
GUA,90,1899,0,450,6,0,874,0,0.0005635,3.02
GUA,90,1900,0,400,7,0,890,0,0.0005151,3.02
GUA,90,1901,0,498,7,0,910,0,0.0005674,3.02
GUA,90,1902,0,879,7,0,940,0,0.0007592,3.02
GUA,90,1903,0,-9,7,0,960,0,0.0004115,3.02
GUA,90,1904,0,409,7,0,990,0,0.0005249,3.02
GUA,90,1905,0,417,7,0,1010,0,0.0004462,3.02
GUA,90,1906,0,431,7,0,1030,0,0.0005179,3.02
GUA,90,1907,0,454,7,0,1050,0,0.0005473,3.02
GUA,90,1908,0,463,7,0,1060,0,0.000539,3.02
GUA,90,1909,0,502,7,0,1080,0,0.0005388,3.02
GUA,90,1910,0,484,7,0,1100,0,0.0005303,3.02
GUA,90,1911,0,469,7,0,1120,0,0.0005074,3.02
GUA,90,1912,0,105,7,0,1140,0,0.0003826,3.02
GUA,90,1913,0,125,7,0,1170,0,0.0003668,3.02
GUA,90,1914,0,151,7,0,1180,0,0.0003304,3.02
GUA,90,1915,0,234,7,0,1200,0,0.0002042,3.02
GUA,90,1916,0,236,7,0,1210,0,0.0002052,3.02
GUA,90,1917,0,-9,7,0,1230,0,0.0002416,3.02
GUA,90,1918,0,-9,7,0,1240,0,0.0002447,3.02
GUA,90,1919,0,-9,8,0,1260,114,0.0005477,3.02
GUA,90,1920,0,-9,8,0,1270,115,0.0005436,3.02
GUA,90,1921,0,-9,8,0,1320,116,0.0005448,3.02
GUA,90,1922,0,126,8,0,1370,116,0.0004824,3.02
GUA,90,1923,0,114,8,0,1420,117,0.0005158,3.02
GUA,90,1924,0,869,8,0,1470,118,0.0005965,3.02
GUA,90,1925,0,1203,8,0,1510,118,0.0006033,3.02
GUA,90,1926,0,2204,8,0,1560,119,0.0006402,3.02
GUA,90,1927,0,2100,7,0,1600,120,0.0006011,3.02
GUA,90,1928,0,2100,7,0,1660,123,0.0005869,3.02
GUA,90,1929,0,2000,7,0,1710,126,0.0005851,3.02
GUA,90,1930,0,2000,7,0,1760,131,0.0005839,3.02
GUA,90,1931,0,1500,7,0,1810,136,0.0005783,3.02
GUA,90,1932,0,1700,7,0,1860,142,0.0005994,3.02
GUA,90,1933,0,1400,6,0,1910,147,0.0005506,3.02
GUA,90,1934,0,1600,7,0,1940,153,0.0005608,3.02
GUA,90,1935,0,1900,6,0,1980,158,0.0005033,3.02
GUA,90,1936,0,2100,6,0,2020,164,0.0005112,3.02
GUA,90,1937,0,1800,6,0,2070,168,0.0004968,3.02
GUA,90,1938,0,1900,6,0,2110,174,0.0005012,3.02
GUA,90,1939,0,1880,6,0,2150,180,0.0004649,3.02
GUA,90,1940,0,-9,-9,0,2200,186,0.0005703,3.02
GUA,90,1941,0,-9,-9,0,2250,193,0.0006026,3.02
GUA,90,1942,0,1900,-9,0,2300,199,0.0005004,3.02
GUA,90,1943,0,-9,-9,0,2340,208,0.0006376,3.02
GUA,90,1944,0,1900,21,0,2390,215,0.000497,3.02
GUA,90,1945,0,-9,-9,4,2440,221,0.0006107,3.02
GUA,90,1946,0,3366,20,5,2500,228,0.0006878,3.02
GUA,90,1947,0,3474,22,5,2570,241,0.000663,3.02
GUA,90,1948,0,3871,22,7,2641,254,0.0006688,3.02
GUA,90,1949,0,5161,22,8,2724,268,0.0006353,3.02
GUA,90,1950,0,5062,22,10,2969,284,0.0006368,3.02
GUA,90,1951,0,5558,22,12,2892,293,0.0006012,3.02
GUA,90,1952,0,5955,7,13,2981,302,0.0004484,3.02
GUA,90,1953,0,5955,7,14,3058,312,0.000448,3.02
GUA,90,1954,0,6650,7,15,3159,322,0.0004455,3.02
GUA,90,1955,0,7940,7,17,3258,333,0.0004379,3.02
GUA,90,1956,0,8800,8,21,3347,343,0.0004478,3.02
GUA,90,1957,0,9300,8,24,3451,355,0.0004501,3.02
GUA,90,1958,0,9800,8,27,3546,368,0.0004512,3.02
GUA,90,1959,0,9800,8,30,3652,382,0.0004518,3.02
GUA,90,1960,0,9400,8,35,3964,414,0.0004589,3.02
GUA,90,1961,0,9200,7,36,4079,449,0.000457,3.02
GUA,90,1962,0,9300,8,40,4197,487,0.0004663,3.02
GUA,90,1963,0,10200,9,45,4318,528,0.0004797,3.02
GUA,90,1964,0,12700,9,53,4442,573,0.0004904,3.02
GUA,90,1965,0,14300,10,55,4568,621,0.000514,3.02
GUA,90,1966,0,14700,9,61,4698,673,0.0005091,3.02
GUA,90,1967,0,16400,10,65,4830,679,0.0005116,3.02
GUA,90,1968,0,15700,11,1138,4964,685,0.0005396,3.02
GUA,90,1969,0,15600,10,1224,5103,692,0.00053,3.02
GUA,90,1970,0,17200,13,2730,5246,700,0.0005745,3.02
GUA,90,1971,0,18500,13,2864,5393,702,0.0005787,3.02
GUA,90,1972,0,22500,14,3088,5544,705,0.0005784,3.02
GUA,90,1973,0,21500,13,3216,5699,706,0.0005651,3.02
GUA,90,1974,0,27400,13,3363,5858,721,0.0005638,3.02
GUA,90,1975,0,42900,13,3391,6023,736,0.00057,3.02
GUA,90,1976,0,49600,14,3255,6191,739,0.0005698,3.02
GUA,90,1977,0,77700,14,3302,6364,742,0.0005769,3.02
GUA,90,1978,0,73200,14,3409,6543,745,0.0005692,3.02
GUA,90,1979,0,81899,21,3464,6726,748,0.0006096,3.02
GUA,90,1980,0,109090,21,3508,6917,751,0.0006133,3.02
GUA,90,1981,0,131209,27,4626,7113,754,0.0006696,3.02
GUA,90,1982,0,165114,30,4625,7315,785,0.0006975,3.02
GUA,90,1983,0,170009,40,4521,7524,816,0.0007597,3.02
GUA,90,1984,0,181288,40,4717,7740,846,0.0007569,3.02
GUA,90,1985,0,174000,43,4815,7963,877,0.0007779,3.02
GUA,90,1986,0,130770,43,4824,8195,901,0.0007645,3.02
GUA,90,1987,0,106320,43,4676,8434,926,0.0007572,3.02
GUA,90,1988,0,127000,43,4871,8681,951,0.0007608,3.02
GUA,90,1989,0,131000,43,4952,8935,977,0.0007736,3.02
GUA,90,1990,21,71780,43,5033,9197,1002,0.0007608,3.02
GUA,90,1991,23,126000,43,5385,9467,1032,0.0008143,3.02
GUA,90,1992,25,109160,44,5689,9745,1062,0.0008454,3.02
GUA,90,1993,18,113000,44,6414,10030,1054,0.0008638,3.02
GUA,90,1994,24,136000,34,6758,10322,1046,0.000806,3.02
GUA,90,1995,33,150000,36,6812,9976,1038,0.0008074,3.02
GUA,90,1996,44,211000,36,6616,10243,1030,0.0008219,3.02
GUA,90,1997,60,182000,30,3447,10517,1022,0.0007403,3.02
GUA,90,1998,81,159000,30,4253,10801,1015,0.0007606,3.02
GUA,90,1999,109,149000,30,4249,11090,1007,0.0007632,3.02
GUA,90,2000,147,155000,31,4245,11385,1041,0.0007827,3.02
GUA,90,2001,199,186000,31,4241,11388,1076,0.0008104,3.02
HON,91,1899,0,-9,1,0,410,0,0.000114,3.02
HON,91,1900,0,68,1,0,420,0,0.0001236,3.02
HON,91,1901,0,79,1,0,440,0,0.0001321,3.02
HON,91,1902,0,79,3,0,450,0,0.0001905,3.02
HON,91,1903,0,62,1,0,470,0,0.0001292,3.02
HON,91,1904,0,97,1,0,481,0,0.0001417,3.02
HON,91,1905,0,97,1,0,500,0,0.0001277,3.02
HON,91,1906,0,103,1,0,510,0,0.0001436,3.02
HON,91,1907,0,135,1,0,520,0,0.0001626,3.02
HON,91,1908,0,135,1,0,530,0,0.0001608,3.02
HON,91,1909,0,120,1,0,540,0,0.0001511,3.02
HON,91,1910,0,120,2,0,550,0,0.0001774,3.02
HON,91,1911,0,113,2,0,560,0,0.0001708,3.02
HON,91,1912,0,-9,2,0,570,0,0.0001593,3.02
HON,91,1913,0,115,2,0,580,0,0.0001609,3.02
HON,91,1914,0,982,2,0,590,0,0.0001501,3.02
HON,91,1915,0,-9,2,0,600,0,0.0001112,3.02
HON,91,1916,0,-9,2,0,610,0,0.0001126,3.02
HON,91,1917,0,882,2,0,630,0,0.0001,3.02
HON,91,1918,0,-9,4,0,660,0,0.0001321,3.02
HON,91,1919,0,-9,3,0,690,0,0.000161,3.02
HON,91,1920,0,998,3,0,720,0,0.000166,3.02
HON,91,1921,0,-9,3,0,740,0,0.0001689,3.02
HON,91,1922,0,999,3,0,770,0,0.0001852,3.02
HON,91,1923,0,1091,3,0,800,0,0.0002056,3.02
HON,91,1924,0,1005,3,0,820,0,0.0002315,3.02
HON,91,1925,0,978,2,0,850,0,0.0001981,3.02
HON,91,1926,0,1000,2,0,880,0,0.0002009,3.02
HON,91,1927,0,900,2,0,890,0,0.0001937,3.02
HON,91,1928,0,800,2,0,910,0,0.00019,3.02
HON,91,1929,0,900,2,0,960,0,0.0001964,3.02
HON,91,1930,0,600,2,0,950,0,0.000184,3.02
HON,91,1931,0,650,2,0,970,0,0.0001868,3.02
HON,91,1932,0,650,2,0,990,0,0.0001922,3.02
HON,91,1933,0,750,1,0,1010,0,0.0001649,3.02
HON,91,1934,0,900,2,0,1020,0,0.0001842,3.02
HON,91,1935,0,1000,2,0,1040,0,0.0001714,3.02
HON,91,1936,0,1000,2,0,1060,0,0.0001736,3.02
HON,91,1937,0,1100,2,0,1080,0,0.0001712,3.02
HON,91,1938,0,1000,2,0,1100,0,0.0001698,3.02
HON,91,1939,0,1095,1,0,1120,0,0.0001416,3.02
HON,91,1940,0,1040,-9,0,1150,0,0.0001548,3.02
HON,91,1941,0,-9,-9,0,1170,0,0.0001962,3.02
HON,91,1942,0,1184,-9,0,1200,0,0.0001649,3.02
HON,91,1943,0,1208,-9,0,1210,0,0.000165,3.02
HON,91,1944,0,1141,-9,0,1240,0,0.0001615,3.02
HON,91,1945,0,1217,-9,0,1260,0,0.0001577,3.02
HON,91,1946,0,1814,3,0,1290,0,0.0001793,3.02
HON,91,1947,0,2402,3,0,1320,0,0.0001579,3.02
HON,91,1948,0,3627,3,0,1353,0,0.0001638,3.02
HON,91,1949,0,2843,3,0,1389,0,0.000151,3.02
HON,91,1950,0,2794,3,6,1445,0,0.0001518,3.02
HON,91,1951,0,3168,3,7,1485,0,0.0001473,3.02
HON,91,1952,0,3218,3,7,1528,0,0.0001411,3.02
HON,91,1953,0,3020,3,8,1570,0,0.000141,3.02
HON,91,1954,0,3200,3,7,1617,0,0.0001404,3.02
HON,91,1955,0,3200,4,7,1665,0,0.0001469,3.02
HON,91,1956,0,4650,4,8,1715,0,0.0001507,3.02
HON,91,1957,0,4450,4,9,1768,0,0.0001515,3.02
HON,91,1958,0,4550,4,10,1823,107,0.0001969,3.02
HON,91,1959,0,4650,4,11,1880,112,0.0001984,3.02
HON,91,1960,0,4100,4,12,1943,129,0.000198,3.02
HON,91,1961,0,7200,6,13,1885,143,0.0002169,3.02
HON,91,1962,0,7250,6,13,2066,156,0.0002224,3.02
HON,91,1963,0,7700,4,14,2129,172,0.0002081,3.02
HON,91,1964,0,5400,4,16,2193,189,0.0002088,3.02
HON,91,1965,0,5700,5,22,2256,208,0.0002234,3.02
HON,91,1966,0,6200,5,25,2320,228,0.0002243,3.02
HON,91,1967,0,6150,5,29,2401,251,0.0002285,3.02
HON,91,1968,0,6200,5,534,2483,276,0.0002463,3.02
HON,91,1969,0,7100,6,841,2565,304,0.0002667,3.02
HON,91,1970,0,8750,6,1995,2639,335,0.0002952,3.02
HON,91,1971,0,11400,8,1772,2720,350,0.000309,3.02
HON,91,1972,0,15450,12,1925,2805,365,0.0003369,3.02
HON,91,1973,0,15950,12,1943,2895,407,0.0003421,3.02
HON,91,1974,0,16900,10,1981,2991,423,0.0003273,3.02
HON,91,1975,0,21400,12,2048,3093,465,0.0003502,3.02
HON,91,1976,0,23700,12,1957,3202,508,0.0003548,3.02
HON,91,1977,0,25250,12,2038,3318,550,0.0003632,3.02
HON,91,1978,0,31400,14,1975,3439,593,0.0003803,3.02
HON,91,1979,0,33000,14,2095,3564,635,0.0003863,3.02
HON,91,1980,0,59000,14,2186,3691,677,0.0003991,3.02
HON,91,1981,0,45000,17,1806,3821,720,0.000411,3.02
HON,91,1982,0,60000,17,1682,3955,796,0.0004231,3.02
HON,91,1983,0,70000,19,1988,4092,872,0.0004523,3.02
HON,91,1984,0,90000,20,2001,4232,947,0.000467,3.02
HON,91,1985,0,71580,21,2083,4372,1023,0.0004799,3.02
HON,91,1986,0,67500,20,2096,4514,1099,0.0004786,3.02
HON,91,1987,0,138000,20,2214,4656,1131,0.0004935,3.02
HON,91,1988,0,124000,19,2382,4802,1410,0.0005213,3.02
HON,91,1989,0,138000,19,2458,4951,1203,0.0005016,3.02
HON,91,1990,8,45700,18,2483,5105,1241,0.0004742,3.02
HON,91,1991,8,61000,17,2445,5265,1279,0.0004922,3.02
HON,91,1992,8,42450,17,2498,5427,1327,0.0005018,3.02
HON,91,1993,8,44000,17,2015,5595,1399,0.0005057,3.02
HON,91,1994,8,45000,17,2066,5770,1475,0.0005158,3.02
HON,91,1995,8,54000,17,2139,5953,1545,0.0005269,3.02
HON,91,1996,8,100000,10,2211,6140,1618,0.0004925,3.02
HON,91,1997,8,101000,10,1920,6338,1694,0.0004983,3.02
HON,91,1998,8,99000,7,2376,6147,1775,0.0004817,3.02
HON,91,1999,8,95000,8,2377,6316,1858,0.0004944,3.02
HON,91,2000,8,95000,8,2378,6485,1932,0.0005004,3.02
HON,91,2001,8,96000,8,2379,6486,2008,0.0005054,3.02
SAL,92,1875,0,-9,1,0,544,0,0.000178,3.02
SAL,92,1876,0,164,1,0,555,0,0.0002963,3.02
SAL,92,1877,0,-9,1,0,566,0,0.0001775,3.02
SAL,92,1878,0,-9,1,0,577,0,0.0001746,3.02
SAL,92,1879,0,-9,1,0,588,0,0.0001825,3.02
SAL,92,1880,0,-9,1,0,600,0,0.0001836,3.02
SAL,92,1881,0,180,1,0,612,0,0.0003248,3.02
SAL,92,1882,0,187,1,0,624,0,0.0003248,3.02
SAL,92,1883,0,112,1,0,636,0,0.0002669,3.02
SAL,92,1884,0,111,1,0,644,0,0.0002583,3.02
SAL,92,1885,0,123,1,0,651,0,0.0002674,3.02
SAL,92,1886,0,-9,2,0,658,0,0.0002327,3.02
SAL,92,1887,0,106,2,0,665,0,0.0002847,3.02
SAL,92,1888,0,116,2,0,671,0,0.0002794,3.02
SAL,92,1889,0,140,2,0,682,0,0.0003018,3.02
SAL,92,1890,0,408,2,0,689,0,0.0005022,3.02
SAL,92,1891,0,-9,4,0,693,0,0.0003054,3.02
SAL,92,1892,0,248,4,0,704,0,0.0004523,3.02
SAL,92,1893,0,247,4,0,723,0,0.0004462,3.02
SAL,92,1894,0,396,4,0,738,0,0.0005497,3.02
